证券代码,净利润增长率%,加权平均ROE本期,加权平均ROE上年同期,加权平均ROE增长率%,营业收入增长率%,基本
600238,-180.72,72.24,32.53,-307.84,65.15,1.7000000000000002
600239,341.45,69.75,71.97,5.16,1329.78,2.9699999999999998
600240,386.73,130.25,119.27,245.89,317.16,4.3
600241,-786.64,-15.16,-18.86,-662.04,2.54,-0.2
600242,-8650.5,-18.27,351.0,-11030.94,983.28,0.48
600246,-1205.16,44.07,58.69,-1548.5,21.47,1.27
600247,-847.77,-565.48,-381.11,-1092.15,4112.94,-2.08
600248,153.42,118.9,153.15,-130.33,396.66,2.84
600249,-1215.22,-10.77,-3.1,-1122.13,100.4,-0.39
600250,440.76,-4.88,-25.35,-370.64,-164.47,0.25
600251,2708.93,92.15,92.28,2391.94,124.46,2.8
600252,519.57,206.53,206.31,152.12,237.93,4.41
600253,346.05,15.4,-0.18,327.42,62.11,0.31
600255,168.25,19.07,15.67,25.87,60.72,0.4
600256,297.4,102.5,115.11,130.06,198.09,2.58
600257,1175.79,49.15,25.02,966.02,113.87,0.74
600258,260.63,106.77,114.09,-19.89,408.43,5.33
600259,-1140.13,34.02,54.0,-1608.87,280.47,0.06
600260,706.75,66.86,52.14,483.63,400.58,2.62
600261,159.59,120.06,118.44,42.31,108.96,3.65
600262,157.33,62.16,64.12,86.16,-39.8,3.25
600263,74.41,15.7,12.54,49.07,49.62,0.73
600265,-3108.22,-308.07,-167.69,-3980.91,6.27,-2.76
600266,230.82,126.63,128.19,51.48,163.14,10.0
600267,-703.73,61.09,74.54,-875.32,137.43,3.33
600268,-8689.46,31.91,39.51,-7161.01,144.91,1.16
600269,13.12,84.62,93.75,-58.68,44.46,3.7800000000000002
600270,165.73,102.35,101.48,81.6,83.96,7.01
600271,117.71,177.52,180.45,-7.18,173.81,9.58
600272,67.8,92.08,106.17,-5.19,33.02,1.26
600273,-1395.05,63.32,44.41,-914.19,88.0,1.67
600275,-9741.94,-84.27,-86.78,-10464.68,245.12,-0.37
600276,260.6,236.07,235.34,8.53,220.15,10.06
600277,565.0,32.26,21.68,381.11,293.95,1.67
600278,19.32,50.07,50.83,-2.45,21.33,2.76
600279,582.98,43.11,32.82,457.6,283.35,2.19
600280,920.63,136.93,130.35,563.78,82.37,3.51
600281,-4075.79,-93.26,-93.37,-4557.98,-108.49,-1.6
600282,-138.12,15.04,-18.92,-379.0,48.16,0.43
600283,205.84,39.54,40.02,107.29,110.19,1.55
600284,149.86,78.82,79.57,20.24,86.57,5.2
